,best
940,0.6931471805599453
941,1.0986122886681098
942,2.0794415416798357
943,1.0986122886681098
944,0.6931471805599453
945,0.6931471805599453
946,1.3862943611198906
947,0.0
948,0.6931471805599453
949,4.762173934797756
950,0.6931471805599453
951,0.6931471805599453
952,1.3862943611198906
953,1.3862943611198906
954,1.3862943611198906
955,0.6931471805599453
956,1.6094379124341003
957,1.0986122886681098
958,1.0986122886681098
959,1.0986122886681098
960,2.0794415416798357
961,1.3862943611198906
962,1.0986122886681098
963,1.0986122886681098
964,0.0
965,0.6931471805599453
966,0.6931471805599453
967,1.9459101490553132
968,1.3862943611198906
969,0.6931471805599453
970,0.6931471805599453
971,2.3978952727983707
972,1.9459101490553132
973,0.6931471805599453
974,1.3862943611198906
975,1.0986122886681098
976,1.3862943611198906
977,0.0
978,0.0
979,3.091042453358316
980,0.0
981,1.6094379124341003
982,0.6931471805599453
983,1.3862943611198906
984,0.6931471805599453
985,1.0986122886681098
986,1.3862943611198906
987,3.258096538021482
988,1.9459101490553132
989,0.6931471805599453
990,1.6094379124341003
991,1.6094379124341003
992,0.0
993,2.8903717578961645
994,2.302585092994046
995,1.791759469228055
996,1.3862943611198906
997,0.0
998,1.0986122886681098
999,1.791759469228055
1000,1.791759469228055
1001,2.0794415416798357
1002,1.0986122886681098
1003,2.302585092994046
1004,0.6931471805599453
1005,2.9444389791664403
1006,1.791759469228055
1007,2.5649493574615367
1008,0.6931471805599453
1009,1.0986122886681098
1010,1.791759469228055
1011,1.3862943611198906
1012,1.3862943611198906
1013,0.0
1014,0.0
1015,0.6931471805599453
1016,0.6931471805599453
1017,0.0
1018,0.6931471805599453
1019,2.995732273553991
1020,0.6931471805599453
1021,1.6094379124341003
1022,1.3862943611198906
1023,2.70805020110221
1024,2.4849066497880004
1025,0.6931471805599453
1026,0.6931471805599453
1027,0.6931471805599453
1028,1.6094379124341003
1029,2.0794415416798357
1030,1.791759469228055
1031,2.4849066497880004
1032,1.791759469228055
1033,3.784189633918261
1034,1.9459101490553132
1035,1.791759469228055
1036,1.6094379124341003
1037,2.1972245773362196
1038,2.0794415416798357
1039,1.6094379124341003
1040,2.0794415416798357
1041,1.6094379124341003
1042,2.0794415416798357
1043,2.0794415416798357
1044,1.0986122886681098
1045,1.6094379124341003
1046,2.3978952727983707
1047,2.9444389791664403
1048,2.0794415416798357
1049,2.0794415416798357
1050,1.791759469228055
1051,1.3862943611198906
1052,2.3978952727983707
1053,1.6094379124341003
1054,1.791759469228055
1055,2.302585092994046
1056,1.791759469228055
1057,2.0794415416798357
1058,1.6094379124341003
1059,2.3978952727983707
1060,2.1972245773362196
